序號,淨值日期,基金淨值
1,2025/06/02,$65.7500 元
2,2025/06/03,$66.4100 元
3,2025/06/04,$69.6100 元
4,2025/06/05,$70.0900 元
5,2025/06/06,$70.1700 元
6,2025/06/09,$71.1700 元
7,2025/06/10,$73.7700 元
8,2025/06/11,$75.3000 元
9,2025/06/12,$74.6900 元
10,2025/06/13,$72.5900 元
11,2025/06/16,$73.1900 元
12,2025/06/17,$73.8500 元
13,2025/06/18,$74.8000 元
14,2025/06/19,$73.2500 元
15,2025/06/20,$72.8900 元
16,2025/06/23,$71.7000 元
17,2025/06/24,$74.9500 元
18,2025/06/25,$76.3400 元
19,2025/06/26,$76.0100 元
20,2025/06/27,$76.0500 元
21,2025/06/30,$76.2100 元
22,2025/07/01,$77.6400 元
23,2025/07/02,$77.9300 元
24,2025/07/03,$79.9200 元
25,2025/07/04,$78.2000 元
26,2025/07/07,$77.4500 元
27,2025/07/08,$76.9600 元
28,2025/07/09,$78.1800 元
29,2025/07/10,$79.3800 元
30,2025/07/11,$80.5100 元
31,2025/07/14,$78.9600 元
32,2025/07/15,$80.7400 元
33,2025/07/16,$82.5100 元
34,2025/07/17,$84.0900 元
35,2025/07/18,$84.9800 元
36,2025/07/21,$84.6900 元
37,2025/07/22,$83.0600 元
38,2025/07/23,$84.4200 元
39,2025/07/24,$85.2900 元
40,2025/07/25,$84.8100 元
41,2025/07/28,$85.8900 元
42,2025/07/29,$84.1700 元
43,2025/07/30,$85.6800 元
44,2025/07/31,$87.3400 元
45,2025/08/01,$85.5700 元
46,2025/08/04,$85.0300 元
47,2025/08/05,$87.2600 元
48,2025/08/06,$86.0800 元
49,2025/08/07,$90.3400 元
50,2025/08/08,$90.0100 元
51,2025/08/11,$91.4800 元
52,2025/08/12,$91.4400 元
53,2025/08/13,$92.9600 元
54,2025/08/14,$92.2700 元
55,2025/08/15,$92.6100 元
56,2025/08/18,$93.5900 元
57,2025/08/19,$92.9500 元
58,2025/08/20,$88.1400 元
59,2025/08/21,$89.5600 元
60,2025/08/22,$88.7900 元
61,2025/08/25,$92.5800 元
62,2025/08/26,$92.5800 元
63,2025/08/27,$94.1800 元
64,2025/08/28,$92.3300 元
65,2025/08/29,$92.6700 元
66,2025/09/01,$90.6800 元
67,2025/09/02,$90.4100 元
68,2025/09/03,$90.6000 元
69,2025/09/04,$91.6100 元
70,2025/09/05,$93.8400 元
71,2025/09/08,$94.8600 元
72,2025/09/09,$96.7700 元
73,2025/09/10,$99.6800 元
74,2025/09/11,$100.1400 元
75,2025/09/12,$101.9200 元
76,2025/09/15,$101.0400 元
77,2025/09/16,$103.2400 元
78,2025/09/17,$101.9400 元
79,2025/09/18,$103.8500 元
80,2025/09/19,$103.5100 元
81,2025/09/22,$105.3100 元
82,2025/09/23,$108.3300 元
83,2025/09/24,$108.0900 元
84,2025/09/25,$106.9500 元
85,2025/09/26,$103.3800 元
86,2025/09/30,$105.7400 元
87,2025/10/01,$106.4800 元
88,2025/10/02,$109.6000 元
89,2025/10/03,$112.1900 元
90,2025/10/07,$117.0700 元
91,2025/10/08,$115.1500 元
92,2025/10/09,$117.2300 元
93,2025/10/13,$113.6000 元
94,2025/10/14,$111.8600 元
95,2025/10/15,$116.2200 元
96,2025/10/16,$120.7200 元
97,2025/10/17,$116.4800 元
98,2025/10/20,$120.3400 元
99,2025/10/21,$120.7800 元
100,2025/10/22,$119.7200 元
101,2025/10/23,$118.4000 元
102,2025/10/27,$124.1100 元
103,2025/10/28,$122.2300 元
104,2025/10/29,$125.8000 元
105,2025/10/30,$125.6700 元
106,2025/10/31,$125.9500 元
107,2025/11/03,$125.1600 元
108,2025/11/04,$123.2000 元
109,2025/11/05,$120.4800 元
110,2025/11/06,$122.4400 元
111,2025/11/07,$119.7000 元
112,2025/11/10,$122.2500 元
113,2025/11/11,$120.1900 元
114,2025/11/12,$122.6100 元
115,2025/11/13,$121.9100 元
116,2025/11/14,$116.9000 元
117,2025/11/17,$117.5600 元
118,2025/11/18,$111.8000 元
119,2025/11/19,$110.0000 元
120,2025/11/20,$117.2800 元
121,2025/11/21,$108.6900 元
122,2025/11/24,$109.8300 元
123,2025/11/25,$112.4600 元
124,2025/11/26,$115.8500 元
125,2025/11/27,$117.8900 元
126,2025/11/28,$119.2400 元
127,2025/12/01,$116.3900 元
128,2025/12/02,$117.6900 元
129,2025/12/03,$119.4100 元
130,2025/12/04,$119.7400 元
131,2025/12/05,$121.5600 元
132,2025/12/08,$123.9400 元
133,2025/12/09,$123.3500 元
134,2025/12/10,$124.9600 元
135,2025/12/11,$122.3300 元
136,2025/12/12,$123.9800 元
137,2025/12/15,$120.6600 元
138,2025/12/16,$118.2200 元
139,2025/12/17,$117.8900 元
140,2025/12/18,$117.1100 元
141,2025/12/19,$119.6500 元
142,2025/12/22,$123.4600 元
143,2025/12/23,$124.1100 元
144,2025/12/24,$124.5600 元
145,2025/12/26,$126.4000 元
146,2025/12/29,$128.7300 元
147,2025/12/30,$128.1500 元
148,2025/12/31,$129.3900 元
149,2026/01/02,$133.5400 元
150,2026/01/05,$141.0600 元
151,2026/01/06,$144.0300 元
152,2026/01/07,$142.9800 元
153,2026/01/08,$142.4400 元
154,2026/01/09,$142.4000 元
155,2026/01/12,$144.7100 元
156,2026/01/13,$146.3200 元
157,2026/01/14,$147.3600 元
158,2026/01/15,$148.0300 元
159,2026/01/16,$152.0800 元
160,2026/01/19,$153.9800 元
161,2026/01/20,$154.0000 元
162,2026/01/21,$150.8700 元
163,2026/01/22,$154.6300 元
164,2026/01/23,$157.5100 元
165,2026/01/26,$157.4300 元
166,2026/01/27,$160.9000 元
167,2026/01/28,$165.0600 元
168,2026/01/29,$163.5500 元
169,2026/01/30,$158.3500 元
170,2026/02/02,$152.0900 元
171,2026/02/03,$158.5300 元
172,2026/02/04,$159.8200 元
173,2026/02/05,$154.7500 元
174,2026/02/06,$153.6500 元
175,2026/02/09,$161.9500 元
176,2026/02/10,$168.9100 元
177,2026/02/11,$172.8300 元
178,2026/02/23,$174.2200 元
179,2026/02/24,$183.0900 元
180,2026/02/25,$189.9500 元
181,2026/02/26,$191.2600 元
182,2026/03/02,$187.2600 元
183,2026/03/03,$177.6100 元
184,2026/03/04,$162.4800 元
185,2026/03/05,$170.3700 元
186,2026/03/06,$170.7400 元
187,2026/03/09,$152.4200 元
188,2026/03/10,$160.2300 元
189,2026/03/11,$172.8500 元
190,2026/03/12,$167.8400 元
191,2026/03/13,$165.7600 元
192,2026/03/16,$165.3100 元
193,2026/03/17,$170.6100 元
194,2026/03/18,$177.0700 元
195,2026/03/19,$166.8600 元
196,2026/03/20,$166.8600 元
197,2026/03/23,$156.8800 元
198,2026/03/24,$159.0300 元
199,2026/03/25,$167.2000 元
200,2026/03/26,$165.3700 元
