紀錄時間,股票代碼,股票名稱,即時股價
2026-05-29 14:33:43,2330,台積電,"2,355 元"
2026-05-29 14:33:48,2330,台積電,"2,355 元"
2026-05-29 14:34:04,2330,台積電,"2,355 元"
2026-05-29 14:34:12,3481,群創,51.0 元
2026-05-29 14:34:18,2330,台積電,"2,355 元"
2026-05-29 14:34:18,3481,群創,51.0 元
2026-05-29 14:34:21,2317,鴻海,289.0 元
2026-05-29 14:34:23,2303,聯電,144.5 元
2026-05-29 14:34:26,6770,力積電,88.7 元
2026-05-29 14:34:32,2344,華邦電,158.0 元
2026-05-29 14:34:34,2330,台積電,"2,355 元"
2026-05-29 14:34:34,2344,華邦電,158.0 元
2026-05-29 14:34:34,2303,聯電,144.5 元
2026-05-29 14:34:34,6770,力積電,88.7 元
2026-05-29 14:34:34,2317,鴻海,289.0 元
2026-05-29 14:34:34,3481,群創,51.0 元
2026-05-29 14:34:35,2327,國巨*,738 元
2026-05-29 14:34:35,2454,聯發科,"4,310 元"
2026-05-29 14:34:49,3481,群創,51.0 元
2026-05-29 14:34:49,6770,力積電,88.7 元
2026-05-29 14:34:50,2303,聯電,144.5 元
2026-05-29 14:34:50,2344,華邦電,158.0 元
2026-05-29 14:34:50,2454,聯發科,"4,310 元"
2026-05-29 14:34:50,2330,台積電,"2,355 元"
2026-05-29 14:34:50,2317,鴻海,289.0 元
2026-05-29 14:35:04,2327,國巨*,738 元
2026-05-29 14:35:04,2344,華邦電,158.0 元
2026-05-29 14:35:04,2317,鴻海,289.0 元
2026-05-29 14:35:04,2303,聯電,144.5 元
2026-05-29 14:35:04,2454,聯發科,"4,310 元"
2026-05-29 14:35:04,2330,台積電,"2,355 元"
2026-05-29 14:35:04,3481,群創,51.0 元
2026-05-29 14:35:04,6770,力積電,88.7 元
2026-05-29 14:35:19,2303,聯電,144.5 元
2026-05-29 14:35:19,2330,台積電,"2,355 元"
2026-05-29 14:35:19,2344,華邦電,158.0 元
2026-05-29 14:35:19,2317,鴻海,289.0 元
2026-05-29 14:35:20,3481,群創,51.0 元
2026-05-29 14:35:20,6770,力積電,88.7 元
2026-05-29 14:35:20,2454,聯發科,"4,310 元"
2026-05-29 14:35:20,2327,國巨*,738 元
2026-05-29 14:35:34,2327,國巨*,738 元
2026-05-29 14:35:34,2454,聯發科,"4,310 元"
2026-05-29 14:35:34,2303,聯電,144.5 元

2026-05-29 14:35:34,2330,台積電,"2,355 元"
2026-05-29 14:35:34,3481,群創,51.0 元
2026-05-29 14:35:34,2317,鴻海,289.0 元
2026-05-29 14:35:34,2344,華邦電,158.0 元
2026-05-29 14:35:49,2317,鴻海,289.0 元
2026-05-29 14:35:49,3481,群創,51.0 元
2026-05-29 14:35:49,2327,國巨*,738 元
2026-05-29 14:35:49,2303,聯電,144.5 元
2026-05-29 14:35:49,2344,華邦電,158.0 元
2026-05-29 14:35:49,6770,力積電,88.7 元
2026-05-29 14:35:49,2454,聯發科,"4,310 元"
2026-05-29 14:35:49,2330,台積電,"2,355 元"
2026-05-29 14:36:04,2454,聯發科,"4,310 元"
2026-05-29 14:36:04,2330,台積電,"2,355 元"
2026-05-29 14:36:04,2303,聯電,144.5 元
2026-05-29 14:36:04,6770,力積電,88.7 元
2026-05-29 14:36:04,2327,國巨*,738 元
2026-05-29 14:36:04,2344,華邦電,158.0 元
2026-05-29 14:36:04,3481,群創,51.0 元
2026-05-29 14:36:05,2317,鴻海,289.0 元
2026-05-29 14:42:51,2330,台積電,"2,355 元"
2026-05-29 14:42:56,2330,台積電,"2,355 元"
2026-05-29 14:43:11,2330,台積電,"2,355 元"
2026-05-29 14:43:20,2327,國巨*,738 元
2026-05-29 14:43:22,2454,聯發科,"4,310 元"
2026-05-29 14:43:26,3481,群創,51.0 元
2026-05-29 14:43:26,2327,國巨*,738 元
2026-05-29 14:43:27,2454,聯發科,"4,310 元"
2026-05-29 14:43:27,2330,台積電,"2,355 元"
2026-05-29 14:43:35,2330,台積電,"2,355 元"
2026-05-29 14:51:11,2330,台積電,"2,355 元",▲ 60.00,30.86 (69.36) 張
2026-05-29 14:51:16,2330,台積電,"2,355 元",▲ 60.00,30.86 (69.36) 張
2026-05-29 14:51:26,2327,國巨*,738 元,▼ 4.00,58.43 (75.90) 張
2026-05-29 14:51:31,2330,台積電,"2,355 元",▲ 60.00,30.86 (69.36) 張
2026-05-29 14:51:31,2327,國巨*,738 元,▼ 4.00,58.43 (75.90) 張
2026-05-29 14:51:46,2327,國巨*,738 元,▼ 4.00,58.43 (75.90) 張
2026-05-29 14:51:46,2330,台積電,"2,355 元",▲ 60.00,30.86 (69.36) 張
2026-05-29 14:53:28,2330,台積電,"2,355 元",▲ 60.00,30.86 (69.36) 張
2026-05-29 14:53:32,2330,台積電,"2,355 元",▲ 60.00,30.86 (69.36) 張
2026-05-29 14:53:43,3481,群創,51.0 元,▲ 4.60,421.82 (114.73) 張
2026-05-29 14:53:48,2330,台積電,"2,355 元",▲ 60.00,30.86 (69.36) 張
2026-05-29 14:53:48,3481,群創,51.0 元,▲ 4.60,421.82 (114.73) 張
2026-05-29 14:54:02,2330,台積電,"2,355 元",▲ 60.00,30.86 (69.36) 張
2026-05-29 14:54:02,3481,群創,51.0 元,▲ 4.60,421.82 (114.73) 張
2026-05-29 14:57:54,2330,台積電,"2,355 元",▲ 60.00,30.86 (69.36) 張
2026-05-29 14:57:59,2330,台積電,"2,355 元",▲ 60.00,30.86 (69.36) 張
2026-05-29 15:07:39,2330,台積電,"2,355 元",▲ 60.00,N/A
2026-05-29 15:07:44,2330,台積電,"2,355 元",▲ 60.00,N/A
2026-05-29 15:08:39,2330,台積電,"2,355 元",▲ 60.00,N/A
2026-05-29 15:10:17,2330,台積電,"2,355 元",▲ 60.00,N/A
2026-05-29 15:19:31,2330,台積電,"2,355 元",▲ 60.00,N/A
2026-05-29 15:19:36,2330,台積電,"2,355 元",▲ 60.00,N/A
2026-05-29 15:24:44,2330,台積電,"2,355 元",▲ 60.00,成交量 張
2026-05-29 15:24:49,2330,台積電,"2,355 元",▲ 60.00,成交量 張
2026-05-29 15:25:04,2330,台積電,"2,355 元",▲ 60.00,成交量 張
2026-05-29 15:25:19,2330,台積電,"2,355 元",▲ 60.00,成交量 張
2026-05-29 15:27:18,2330,台積電,"2,355 元",▲ 60.00,成交量 張
2026-05-29 15:27:23,2330,台積電,"2,355 元",▲ 60.00,成交量 張
2026-05-29 15:27:38,2330,台積電,"2,355 元",▲ 60.00,成交量 張
2026-05-29 15:27:53,2330,台積電,"2,355 元",▲ 60.00,成交量 張
2026-05-29 15:28:08,2330,台積電,"2,355 元",▲ 60.00,成交量 張
2026-05-29 15:28:16,2330,台積電,"2,355 元",▲ 60.00,成交量 張
2026-05-29 15:28:21,2330,台積電,"2,355 元",▲ 60.00,成交量 張
2026-05-29 15:28:36,2330,台積電,"2,355 元",▲ 60.00,成交量 張
2026-05-29 15:28:51,2330,台積電,"2,355 元",▲ 60.00,成交量 張
2026-05-29 15:29:06,2330,台積電,"2,355 元",▲ 60.00,成交量 張
2026-05-29 15:29:21,2330,台積電,"2,355 元",▲ 60.00,成交量 張
2026-05-29 15:29:36,2330,台積電,"2,355 元",▲ 60.00,成交量 張
2026-05-29 15:29:51,2330,台積電,"2,355 元",▲ 60.00,成交量 張
2026-05-29 15:30:06,2330,台積電,"2,355 元",▲ 60.00,成交量 張
2026-05-29 15:30:22,2330,台積電,"2,355 元",▲ 60.00,成交量 張
2026-05-29 15:30:36,2330,台積電,"2,355 元",▲ 60.00,成交量 張
2026-05-29 15:30:52,2330,台積電,"2,355 元",▲ 60.00,成交量 張
2026-05-29 15:31:07,2330,台積電,"2,355 元",▲ 60.00,成交量 張
2026-05-29 15:31:21,2330,台積電,"2,355 元",▲ 60.00,成交量 張
2026-05-29 15:31:37,2330,台積電,"2,355 元",▲ 60.00,成交量 張
2026-05-29 15:31:51,2330,台積電,"2,355 元",▲ 60.00,成交量 張
